"","Court","PendStart","New","Reopen","Closed","PendatEnd","Pending0.6","Pending6plus","PendingInact.BW","JuryTrials","NonJuryTrials","Convict","Acquit","PleaTrial","DismTrial","DismBrief","PleaBef","DismbyPros","PostJActiv","Other","court.type","Year"
"1","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First District Court",2015
"2","Adult Motor Vehicle Offenses","2","0","1","0","3","1",1,1,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"3","Extradition","12","12","0","6","18","1",16,1,0,0,0,0,0,0,0,0,4,0,"2","First District Court",2015
"4","Felony Crimes Against Property","804","371","524","1000","697","213",239,245,1,0,0,0,0,1,59,322,280,529,"1","First District Court",2015
"5","Felony Crimes Against Persons","544","353","310","580","625","221",249,155,7,0,3,2,2,0,43,186,171,286,"1","First District Court",2015
"6","Felony Drug Offenses","446","288","217","464","487","141",170,176,2,0,0,0,2,0,50,153,157,204,"0","First District Court",2015
"7","Felony DWI/DUI","214","142","133","242","249","78",97,74,2,0,1,0,0,1,4,116,85,110,"0","First District Court",2015
"8","Felony Homicide","29","7","8","22","22","8",13,1,1,0,1,0,0,0,1,10,6,9,"0","First District Court",2015
"9","Felony Miscellaneous","84","39","40","87","76","18",27,31,0,0,0,0,0,0,9,24,20,47,"0","First District Court",2015
"10","Felony Public Safety Offenses","22","15","26","28","35","14",15,6,0,0,0,0,0,0,0,8,6,17,"0","First District Court",2015
"11","Felony Sexual Offenses","61","17","9","25","62","12",32,18,0,0,0,0,0,0,0,10,10,10,"0","First District Court",2015
"12","Felony Domestic Violence","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"13","Lower Court Appeal","8","0","0","0","8","0",8,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"14","Felony Vehicular Homicide","1","4","1","2","4","3",1,0,0,0,0,0,0,0,1,1,1,0,"0","First District Court",2015
"15","Lower Court Appeal ‐ Defendant Appellant","37","16","2","18","37","8",28,1,0,2,1,0,1,0,0,12,3,2,"0","First District Court",2015
"16","Lower Court Appeal ‐ Plaintiff Appellant","9","4","0","6","7","2",5,0,0,1,0,0,0,1,2,1,2,0,"0","First District Court",2015
"17","Lower Court DWI/DUI Appeals","4","0","0","0","4","0",4,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"18","Lower Court DWI Appeal ‐ Defendant Appellant","9","16","0","11","14","8",6,0,0,2,1,0,0,1,1,7,1,0,"1","First District Court",2015
"19","Lower Court DWI Appeal ‐ Plaintiff Appellant","3","3","1","4","3","2",1,0,0,1,1,0,0,0,0,1,1,1,"0","First District Court",2015
"20","Misdemeanor DWI/DUI","2","0","1","1","2","1",1,0,0,0,0,0,0,0,0,0,1,0,"0","First District Court",2015
